month,property_type,sales_volume,total_revenue,median_price
2003-03-01,O,1,150000.0,150000.0
2003-03-01,S,23423,3013430455.0,111000.0
2003-03-01,T,29405,3174832475.0,87000.0
2003-04-01,D,18798,4364828711.0,192500.0
2003-04-01,F,15534,2232373672.0,121000.0
2003-04-01,S,24716,3291471918.0,115000.0
2003-04-01,T,30182,3331259246.0,89950.0
2003-05-01,D,20480,4745490765.0,192500.0
2003-05-01,F,17225,2468651563.0,121500.0
2003-05-01,S,27450,3668200942.0,117000.0
2003-05-01,T,33382,3693894450.0,89950.0
2003-06-01,D,21939,5059951189.0,194000.0
2003-06-01,F,18908,2786680772.0,127297.5
2003-06-01,S,27608,3741777038.0,119400.0
2003-06-01,T,33201,3820215676.0,93500.0
2003-07-01,D,23945,5846211544.0,201000.0
2003-07-01,F,19194,2871933561.0,126000.0
2003-07-01,O,2,58900.0,29450.0
2003-07-01,S,30940,4408242320.0,123500.0
2003-07-01,T,36787,4388575645.0,95995.0
2003-08-01,D,26223,6496807378.0,207000.0
2003-08-01,F,19908,3034817428.0,129000.0
2003-08-01,S,33122,4786457151.0,125000.0
2003-08-01,T,38451,4637766200.0,99950.0
2003-09-01,D,24710,6153729264.0,208100.0
2003-09-01,F,20537,3194429857.0,130000.0
2003-09-01,S,31678,4622186129.0,127000.0
2003-09-01,T,36965,4525306330.0,100000.0
2003-10-01,D,28375,6943167811.0,205000.0
2003-10-01,F,22204,3385807321.0,130000.0
2003-10-01,O,1,149664.0,149664.0
2003-10-01,S,35492,5138303338.0,127500.0
2003-10-01,T,42222,5131323064.0,100000.0
2003-11-01,D,26549,6598415634.0,210000.0
2003-11-01,F,21609,3350396881.0,130000.0
2003-11-01,S,32877,4827015526.0,129950.0
2003-11-01,T,39223,4833693955.0,102000.0
2003-12-01,D,27797,6866180918.0,210000.0
2003-12-01,F,23284,3725155772.0,135000.0
2003-12-01,S,33264,4957121977.0,131850.0
2003-12-01,T,39624,5028970431.0,109000.0
2004-01-01,D,18832,4814175186.0,215000.0
2004-01-01,F,17030,2728121526.0,135000.0
2004-01-01,S,25347,3819000691.0,132500.0
2004-01-01,T,31354,3974371703.0,106000.0
2004-02-01,D,18911,4754348273.0,213000.0
2004-02-01,F,17102,2709569578.0,135000.0
2004-02-01,S,25417,3799249554.0,133500.0
2004-02-01,T,31016,3944303822.0,106000.0
2004-03-01,D,22364,5720344074.0,216000.0
2004-03-01,F,20491,3347590156.0,135000.0
2004-03-01,O,1,280000.0,280000.0
2004-03-01,S,28929,4370162865.0,134000.0
2004-03-01,T,35846,4588756811.0,109000.0
2004-04-01,D,26296,6803659172.0,220000.0
2004-04-01,F,21780,3621995966.0,137500.0
2004-04-01,S,33998,5285163897.0,137000.0
2004-04-01,T,39787,5284178568.0,114500.0
2004-05-01,D,24508,6343219251.0,220000.0
2004-05-01,F,20260,3358742777.0,139690.0
2004-05-01,O,2,302000.0,151000.0
2004-05-01,S,30998,4897605502.0,140000.0
2004-05-01,T,36311,4910831108.0,116500.0
2004-06-01,D,27697,7422116902.0,228950.0
2004-06-01,F,24095,4106075272.0,145000.0
2004-06-01,S,34655,5673923798.0,144950.0
2004-06-01,T,40012,5598498882.0,120000.0
2004-07-01,D,29941,8331980952.0,235000.0
2004-07-01,F,24228,4171507137.0,145000.0
2004-07-01,O,1,33500.0,33500.0
2004-07-01,S,37584,6325074982.0,147950.0
2004-07-01,T,43115,6157925439.0,122000.0
2004-08-01,D,25946,7415343181.0,240000.0
2004-08-01,F,21063,3624238927.0,146500.0
2004-08-01,S,31947,5507559764.0,152000.0
2004-08-01,T,36854,5339189329.0,125000.0
2004-09-01,D,21627,6234716619.0,244000.0
2004-09-01,F,19652,3432370646.0,147000.0
2004-09-01,S,26541,4591890078.0,152500.0
2004-09-01,T,32041,4632518276.0,125000.0
2004-10-01,D,19988,5616935668.0,240000.0
2004-10-01,F,18509,3101984283.0,144000.0
2004-10-01,O,1,10000.0,10000.0
2004-10-01,S,25861,4363006443.0,149950.0
2004-10-01,T,31586,4386854187.0,121500.0
2004-11-01,D,17437,4919304634.0,240000.0
2004-11-01,F,16725,2852357217.0,145000.0
2004-11-01,O,1,22000.0,22000.0
2004-11-01,S,22553,3800689876.0,150000.0
2004-11-01,T,28092,3949343634.0,122500.0
2004-12-01,D,17701,4979110972.0,240000.0
2004-12-01,F,18927,3292908087.0,148000.0
2004-12-01,O,1,1200.0,1200.0
2004-12-01,S,22121,3742096406.0,150000.0
2004-12-01,T,27327,3915692722.0,125000.0
2005-01-01,D,10977,3198745394.0,244000.0
2005-01-01,F,11918,2049152677.0,145000.0
2005-01-01,O,1,130000.0,130000.0
2005-01-01,S,15056,2550291727.0,150000.0
2005-01-01,T,19111,2710573332.0,120000.0
2005-02-01,D,11309,3193647999.0,239995.0
2005-02-01,F,12282,2081412190.0,145000.0
2005-02-01,O,1,600000.0,600000.0
2005-02-01,S,15701,2662121601.0,149995.0
2005-02-01,T,20396,2880897853.0,120000.0
2005-03-01,D,14075,4005639619.0,240000.0
2005-03-01,F,14894,2581940976.0,145000.0
2005-03-01,S,18855,3173579078.0,149950.0
2005-03-01,T,24270,3487734904.0,120000.0
2005-04-01,D,16284,4553272748.0,239000.0
2005-04-01,F,16474,2892969528.0,145950.0
2005-04-01,O,2,4280.0,2140.0
2005-04-01,S,22982,3839411025.0,148000.0
2005-04-01,T,28578,4066340812.0,120000.0
2005-05-01,D,16452,4699579472.0,242262.5
2005-05-01,F,16626,2918537931.0,148000.0
2005-05-01,S,23442,4018962170.0,150000.0
2005-05-01,T,28644,4113059757.0,122500.0
2005-06-01,D,19641,5624851039.0,243000.0
2005-06-01,F,20287,3545273746.0,148000.0
2005-06-01,O,2,21000.0,10500.0
2005-06-01,S,25957,4498724630.0,153050.0
2005-06-01,T,31941,4782905052.0,127500.0
2005-07-01,D,20956,6283977137.0,247500.0
2005-07-01,F,19530,3402339717.0,147046.0
2005-07-01,S,28452,5027404678.0,154950.0
2005-07-01,T,33914,5160984427.0,127000.0
2005-08-01,D,20997,6349879537.0,249950.0
2005-08-01,F,19066,3418589038.0,148000.0
2005-08-01,O,1,450000.0,450000.0
2005-08-01,S,27874,4975656784.0,156950.0
2005-08-01,T,32622,4966439342.0,129500.0
2005-09-01,D,21014,6268330711.0,248000.0
2005-09-01,F,20052,3531242720.0,147500.0
2005-09-01,S,27907,4932016653.0,155000.0
2005-09-01,T,33196,5062838371.0,128000.0
2005-10-01,D,19250,5637466725.0,245000.0
2005-10-01,F,18641,3222756226.0,147500.0
2005-10-01,S,25947,4530661407.0,154500.0
2005-10-01,T,30435,4548546640.0,128000.0
2005-11-01,D,19941,5873811722.0,247000.0
2005-11-01,F,19142,3376274215.0,149457.5
2005-11-01,O,1,578305.0,578305.0
2005-11-01,S,26778,4680374524.0,154950.0
2005-11-01,T,31423,4720838436.0,128000.0
2005-12-01,D,21996,6398008634.0,245000.0
2005-12-01,F,23298,4094882715.0,147500.0
2005-12-01,O,1,475000.0,475000.0
2005-12-01,S,29007,5080966046.0,155000.0
2005-12-01,T,34087,5250214007.0,132000.0
2006-01-01,D,15111,4586248344.0,249000.0
2006-01-01,F,15801,2851792910.0,148500.0
2006-01-01,O,3,2763250.0,22000.0
2006-01-01,S,20987,3713550549.0,154995.0
2006-01-01,T,25564,4015609014.0,128000.0
2006-02-01,D,15417,4516308321.0,245000.0
2006-02-01,F,17066,3004571836.0,150000.0
2006-02-01,O,2,3485000.0,1742500.0
2006-02-01,S,21661,3805701111.0,155000.0
2006-02-01,T,26410,3995408857.0,127000.0
2006-03-01,D,20277,5973719751.0,245000.0
2006-03-01,F,21862,3943583207.0,149950.0
2006-03-01,O,1,75000.0,75000.0
2006-03-01,S,28926,5069227704.0,154291.5
2006-03-01,T,34630,5334522443.0,128500.0
2006-04-01,D,19774,5926119838.0,249000.0
2006-04-01,F,19069,3532309286.0,150000.0
2006-04-01,S,26944,4822023385.0,157000.0
2006-04-01,T,31178,4923482756.0,132000.0
2006-05-01,D,21832,6533926866.0,249950.0
2006-05-01,F,21088,3878329971.0,150000.0
