month,property_type,duration,sales_volume,median_price,total_revenue
1998-12-01,D,L,881,85000.0,90081270.0
1998-12-01,F,F,457,55000.0,38774770.0
1998-12-01,F,L,13914,59995.0,1155462112.0
1998-12-01,S,F,23342,62000.0,1761991840.0
1998-12-01,S,L,2140,53950.0,122534953.0
1998-12-01,T,F,24605,53000.0,1613160900.0
1998-12-01,T,L,2479,37000.0,122987110.0
1999-01-01,D,F,13842,106500.0,1862887005.0
1999-01-01,D,L,582,86500.0,60216591.0
1999-01-01,F,F,349,55000.0,29938164.0
1999-01-01,F,L,10225,59995.0,851484470.0
1999-01-01,S,F,16787,63500.0,1285431122.0
1999-01-01,S,L,1461,54000.0,85140050.0
1999-01-01,T,F,18371,53000.0,1248497504.0
1999-01-01,T,L,1926,37500.0,96853217.0
1999-02-01,D,F,14850,105997.5,1952051256.0
1999-02-01,D,L,611,85000.0,90168438.0
1999-02-01,F,F,371,59950.0,37299541.0
1999-02-01,F,L,10492,60000.0,878343030.0
1999-02-01,S,F,17233,63000.0,1312472747.0
1999-02-01,S,L,1603,52950.0,91678203.0
1999-02-01,T,F,18806,53000.0,1252004541.0
1999-02-01,T,L,1929,37000.0,102620787.0
1999-03-01,D,F,20371,109000.0,2760489755.0
1999-03-01,D,L,823,84950.0,82292590.0
1999-03-01,F,F,464,57875.0,43272617.0
1999-03-01,F,L,13824,62000.0,1191177673.0
1999-03-01,O,F,1,50000.0,50000.0
1999-03-01,S,F,23256,63500.0,1793221374.0
1999-03-01,S,L,2004,53950.0,115307893.0
1999-03-01,T,F,25437,54000.0,1751817246.0
1999-03-01,T,L,2645,36950.0,130055286.0
1999-04-01,D,F,22290,110000.0,3022411465.0
1999-04-01,D,L,875,85000.0,87163874.0
1999-04-01,F,F,458,54000.0,37978213.0
1999-04-01,F,L,14388,63775.0,1257592719.0
1999-04-01,S,F,25166,64995.0,1988761847.0
1999-04-01,S,L,2162,55000.0,131051188.0
1999-04-01,T,F,26229,55500.0,1873547377.0
1999-04-01,T,L,2625,38500.0,142212303.0
1999-05-01,D,F,22778,112000.0,3121738833.0
1999-05-01,D,L,948,85975.0,95241034.0
1999-05-01,F,F,424,60000.0,37188975.0
1999-05-01,F,L,14215,65000.0,1245244927.0
1999-05-01,S,F,25122,65000.0,1992221412.0
1999-05-01,S,L,2107,54950.0,129015272.0
1999-05-01,T,F,26055,56000.0,1866090545.0
1999-05-01,T,L,2529,37500.0,123145109.0
1999-06-01,D,F,26494,115000.0,3768420720.0
1999-06-01,D,L,1025,88750.0,113668109.0
1999-06-01,F,F,515,63800.0,51126655.0
1999-06-01,F,L,16440,67500.0,1523167137.0
1999-06-01,S,F,27712,67000.0,2289201076.0
1999-06-01,S,L,2373,55000.0,145928819.0
1999-06-01,T,F,28853,58200.0,2182741975.0
1999-06-01,T,L,2835,39500.0,152978811.0
1999-07-01,D,F,31309,118000.0,4615987065.0
1999-07-01,D,L,1190,88997.5,125640112.0
1999-07-01,F,F,659,63000.0,62617977.0
1999-07-01,F,L,19378,68000.0,1818309234.0
1999-07-01,O,L,1,151508.0,151508.0
1999-07-01,S,F,33464,68000.0,2835656251.0
1999-07-01,S,L,2800,55000.0,175309659.0
1999-07-01,T,F,34157,58950.0,2641938389.0
1999-07-01,T,L,3250,39500.0,171364634.0
1999-08-01,D,F,28619,120000.0,4271333779.0
1999-08-01,D,L,1107,89000.0,119595214.0
1999-08-01,F,F,521,61500.0,48981208.0
1999-08-01,F,L,17512,69950.0,1693828756.0
1999-08-01,S,F,29952,69500.0,2574438328.0
1999-08-01,S,L,2523,56950.0,157280148.0
1999-08-01,T,F,31253,59500.0,2434962343.0
1999-08-01,T,L,2850,39950.0,156080064.0
1999-09-01,D,F,27366,120000.0,4179868097.0
1999-09-01,D,L,1000,90000.0,110665968.0
1999-09-01,F,F,558,62975.0,52868182.0
1999-09-01,F,L,17140,71000.0,1717942792.0
1999-09-01,S,F,27932,69950.0,2434557725.0
1999-09-01,S,L,2285,56950.0,146811056.0
1999-09-01,T,F,29135,59950.0,2299948457.0
1999-09-01,T,L,2783,39995.0,151759651.0
1999-10-01,D,F,27911,117500.0,4074200967.0
1999-10-01,D,L,1145,89500.0,121335206.0
1999-10-01,F,F,609,60000.0,60190919.0
1999-10-01,F,L,17706,71000.0,1722683369.0
1999-10-01,S,F,29616,68950.0,2522568866.0
1999-10-01,S,L,2537,57000.0,160415174.0
1999-10-01,T,F,31177,59000.0,2376492351.0
1999-10-01,T,L,2951,40000.0,164860016.0
1999-11-01,D,F,26822,119000.0,3947312867.0
1999-11-01,D,L,1013,89995.0,110450104.0
