month,county,sales_volume,total_revenue,median_price
1995-04-01,CHESHIRE WEST AND CHESTER,3,199000.0,60000.0
1995-04-01,CITY OF BRISTOL,6,200450.0,25750.0
1995-04-01,CITY OF DERBY,3,153750.0,30000.0
1995-04-01,CITY OF KINGSTON UPON HULL,4,71500.0,18000.0
1995-04-01,CITY OF NOTTINGHAM,2,205000.0,102500.0
1995-04-01,CITY OF PETERBOROUGH,1,98000.0,98000.0
1995-04-01,CITY OF PLYMOUTH,6,132970.0,6935.0
1995-04-01,CLEVELAND,139,6882729.0,43000.0
1995-04-01,CLWYD,323,16805788.0,45000.0
1995-04-01,CONWY,1,4500.0,4500.0
1995-04-01,CORNWALL,623,34410125.0,48500.0
1995-04-01,COUNTY DURHAM,9,368500.0,7000.0
1995-04-01,CUMBRIA,562,30836522.0,47000.0
1995-04-01,DARLINGTON,119,6047081.0,44500.0
1995-04-01,DERBYSHIRE,1074,57779229.0,44500.0
1995-04-01,DEVON,1170,71674338.0,52000.0
1995-04-01,DORSET,547,41442239.0,65000.0
1995-04-01,DURHAM,470,22109905.0,40000.0
1995-04-01,DYFED,217,9622723.0,40000.0
1995-04-01,EAST RIDING OF YORKSHIRE,7,464000.0,60000.0
1995-04-01,EAST SUSSEX,1077,76452534.0,58000.0
1995-04-01,ESSEX,1652,120938372.0,59500.0
1995-04-01,FLINTSHIRE,5,310000.0,47000.0
1995-04-01,GLOUCESTERSHIRE,704,48680597.0,56975.0
1995-04-01,GREATER LONDON,8195,796256810.0,72000.0
1995-04-01,GREATER MANCHESTER,2419,123126257.0,44000.0
1995-04-01,GWENT,131,8012983.0,48950.0
1995-04-01,GWYNEDD,177,8302195.0,40000.0
1995-04-01,HALTON,113,5413069.0,42000.0
1995-04-01,HAMPSHIRE,1865,150345119.0,66500.0
1995-04-01,HARTLEPOOL,78,3037211.0,32000.0
1995-04-01,HEREFORD AND WORCESTER,148,9258170.0,54000.0
1995-04-01,HEREFORDSHIRE,2,182500.0,91250.0
1995-04-01,HERTFORDSHIRE,1371,121953646.0,72000.0
