month,property_type,is_new_build,sales_volume,median_price,total_revenue
1999-02-01,D,1,3645,107500.0,459691178.0
1999-02-01,F,0,9675,59000.0,761978871.0
1999-02-01,F,1,1190,99000.0,153800700.0
1999-02-01,S,0,17500,60000.0,1307426075.0
1999-02-01,S,1,1336,63637.5,96724875.0
1999-02-01,T,0,19709,50000.0,1267076257.0
1999-02-01,T,1,1026,69500.0,87549071.0
1999-03-01,D,0,16388,107000.0,2225419822.0
1999-03-01,D,1,4808,108950.0,617507523.0
1999-03-01,F,0,12717,59500.0,1027049838.0
1999-03-01,F,1,1572,100000.0,207434452.0
1999-03-01,O,0,1,50000.0,50000.0
1999-03-01,S,0,23430,61500.0,1767999661.0
1999-03-01,S,1,1831,63000.0,140578606.0
1999-03-01,T,0,26586,51000.0,1745957528.0
1999-03-01,T,1,1496,73000.0,135915004.0
1999-04-01,D,0,18259,108000.0,2476821116.0
1999-04-01,D,1,4906,109750.0,632754223.0
1999-04-01,F,0,13330,60000.0,1098959487.0
1999-04-01,F,1,1516,101000.0,196611445.0
1999-04-01,S,0,25551,63500.0,1981798678.0
1999-04-01,S,1,1777,64950.0,138014357.0
1999-04-01,T,0,27533,52950.0,1898544889.0
1999-04-01,T,1,1321,71950.0,117214791.0
1999-05-01,D,0,18558,110000.0,2520996610.0
1999-05-01,D,1,5169,113000.0,696088252.0
1999-05-01,F,0,13082,61000.0,1084296337.0
1999-05-01,F,1,1557,95000.0,198137565.0
1999-05-01,S,0,25357,64000.0,1974548065.0
1999-05-01,S,1,1872,65450.0,146688619.0
1999-05-01,T,0,27116,53000.0,1857700836.0
1999-05-01,T,1,1468,72950.0,131534818.0
1999-06-01,D,0,21186,115000.0,3038520141.0
1999-06-01,D,1,6333,112500.0,843568688.0
1999-06-01,F,0,14879,63950.0,1295328554.0
1999-06-01,F,1,2077,104950.0,279020238.0
1999-06-01,S,0,27872,65500.0,2263270404.0
1999-06-01,S,1,2214,65500.0,171928491.0
1999-06-01,T,0,29700,55000.0,2142490688.0
1999-06-01,T,1,1988,78502.0,193230098.0
1999-07-01,D,0,26898,117500.0,3993904556.0
1999-07-01,D,1,5602,112995.0,747892571.0
1999-07-01,F,0,17993,65000.0,1601210083.0
1999-07-01,F,1,2045,105000.0,279750128.0
1999-07-01,O,0,1,151508.0,151508.0
1999-07-01,S,0,34305,67000.0,2854268660.0
1999-07-01,S,1,1959,64995.0,156697250.0
1999-07-01,T,0,35860,56000.0,2658824450.0
1999-07-01,T,1,1548,78950.0,154548522.0
1999-08-01,D,0,24623,119000.0,3686161531.0
1999-08-01,D,1,5103,116950.0,704767462.0
1999-08-01,F,0,16341,66750.0,1507842751.0
1999-08-01,F,1,1692,102000.0,234967213.0
1999-08-01,S,0,30788,68250.0,2596097637.0
1999-08-01,S,1,1688,65950.0,135708839.0
1999-08-01,T,0,32661,57000.0,2444557133.0
1999-08-01,T,1,1442,79825.0,146485274.0
1999-09-01,D,0,23272,120000.0,3591343951.0
1999-09-01,D,1,5095,115500.0,699264114.0
1999-09-01,F,0,16043,68500.0,1526419520.0
1999-09-01,F,1,1655,110000.0,244391454.0
1999-09-01,S,0,28533,68500.0,2444285208.0
1999-09-01,S,1,1685,66975.0,137138573.0
1999-09-01,T,0,30471,57000.0,2307425895.0
1999-09-01,T,1,1447,80000.0,144282213.0
1999-10-01,D,0,23573,117000.0,3457714567.0
1999-10-01,D,1,5483,113500.0,737821606.0
1999-10-01,F,0,16468,67972.5,1522219414.0
1999-10-01,F,1,1848,114972.5,260704874.0
1999-10-01,S,0,30377,67500.0,2539890190.0
1999-10-01,S,1,1776,67500.0,143093850.0
1999-10-01,T,0,32578,56000.0,2389676379.0
1999-10-01,T,1,1551,78500.0,151731288.0
1999-11-01,D,0,22240,118000.0,3291273706.0
1999-11-01,D,1,5595,116250.0,766489265.0
1999-11-01,F,0,16234,68950.0,1512270396.0
1999-11-01,F,1,1806,109950.0,278435164.0
1999-11-01,S,0,29176,68000.0,2455521497.0
1999-11-01,S,1,1805,67495.0,146011172.0
1999-11-01,T,0,31669,57000.0,2389198885.0
1999-11-01,T,1,1515,79950.0,149285021.0
1999-12-01,D,0,20384,119995.0,3004379985.0
1999-12-01,D,1,7004,118995.0,1005653930.0
1999-12-01,F,0,16299,69500.0,1562912308.0
1999-12-01,F,1,2320,111000.0,339788287.0
1999-12-01,O,0,1,17000.0,17000.0
1999-12-01,S,0,27836,68000.0,2339185711.0
1999-12-01,S,1,2123,68850.0,179590278.0
1999-12-01,T,0,30855,57000.0,2311317611.0
1999-12-01,T,1,1907,83995.0,199955516.0
2000-01-01,D,0,13708,121850.0,2151988587.0
2000-01-01,D,1,2925,116995.0,420722285.0
2000-01-01,F,0,11684,70000.0,1161438972.0
2000-01-01,F,1,1247,110000.0,201014888.0
2000-01-01,S,0,18881,69000.0,1654359406.0
2000-01-01,S,1,961,68950.0,81617027.0
2000-01-01,T,0,21963,57750.0,1713809791.0
2000-01-01,T,1,912,81500.0,95339529.0
2000-02-01,D,0,13828,120000.0,2114422706.0
2000-02-01,D,1,4161,119450.0,587916277.0
2000-02-01,F,0,12452,71000.0,1203548632.0
2000-02-01,F,1,1559,112000.0,231133561.0
2000-02-01,S,0,19762,68000.0,1682898006.0
2000-02-01,S,1,1316,68972.5,109382777.0
2000-02-01,T,0,22842,56500.0,1733009115.0
2000-02-01,T,1,1145,84635.0,124215919.0
2000-03-01,D,0,18359,120000.0,2889508247.0
2000-03-01,D,1,5922,119995.0,858928737.0
2000-03-01,F,0,15944,72500.0,1625431167.0
2000-03-01,F,1,1991,115000.0,302781642.0
2000-03-01,O,0,1,135000.0,135000.0
2000-03-01,S,0,26687,68500.0,2298466806.0
2000-03-01,S,1,1932,69500.0,165227039.0
2000-03-01,T,0,30192,57500.0,2403287190.0
2000-03-01,T,1,1718,83995.0,184029101.0
2000-04-01,D,0,17711,125000.0,2827604908.0
2000-04-01,D,1,4618,119995.0,663308226.0
2000-04-01,F,0,14242,75000.0,1488838325.0
2000-04-01,F,1,1631,124550.0,254258524.0
2000-04-01,S,0,25555,71000.0,2287133377.0
2000-04-01,S,1,1525,69950.0,134838216.0
2000-04-01,T,0,27912,59000.0,2224719079.0
2000-04-01,T,1,1342,87950.0,146716971.0
2000-05-01,D,0,18392,127500.0,2954064470.0
2000-05-01,D,1,5243,120950.0,759715371.0
2000-05-01,F,0,14858,75000.0,1539764293.0
2000-05-01,F,1,1794,125950.0,288847072.0
2000-05-01,S,0,25875,71500.0,2301261118.0
2000-05-01,S,1,1627,71950.0,143430536.0
2000-05-01,T,0,28859,59500.0,2310212936.0
2000-05-01,T,1,1503,88000.0,172100166.0
2000-06-01,D,0,20430,127000.0,3270074057.0
2000-06-01,D,1,7468,123995.0,1106356758.0
2000-06-01,F,0,16243,76000.0,1650321014.0
2000-06-01,F,1,2382,125000.0,378520568.0
2000-06-01,S,0,29139,71000.0,2613149790.0
2000-06-01,S,1,2301,73500.0,204985947.0
2000-06-01,T,0,32431,59500.0,2577058113.0
2000-06-01,T,1,1937,88500.0,211119352.0
2000-07-01,D,0,19943,133000.0,3413825385.0
2000-07-01,D,1,4228,122872.5,625859221.0
2000-07-01,F,0,14859,76250.0,1518890313.0
2000-07-01,F,1,1729,132000.0,294862537.0
2000-07-01,S,0,27893,73500.0,2589945301.0
2000-07-01,S,1,1395,71000.0,121470421.0
2000-07-01,T,0,30349,60000.0,2488099419.0
2000-07-01,T,1,1256,90000.0,142506144.0
2000-08-01,D,0,20193,133000.0,3451901072.0
