month,sales_volume,total_revenue,median_price,sales_volume_prev_year,total_revenue_prev_year,median_price_prev_year,yoy_sales_volume,yoy_total_revenue,yoy_median_price
2011-02-01,40100,9184459332.0,173000.0,42982,9906505584.0,180000.0,-0.06705132380996696,-0.07288606924788667,-0.03888888888888889
2011-03-01,47347,11113052969.0,170000.0,52161,11835384947.0,175000.0,-0.09229117539924464,-0.06103155759062105,-0.02857142857142857
2011-04-01,51318,12202640800.0,175000.0,52905,12102810221.0,177000.0,-0.02999716472923164,0.00824854535244885,-0.011299435028248588
2011-05-01,49549,10906256857.0,175000.0,52808,12012449472.0,180000.0,-0.06171413422208756,-0.09208718151767806,-0.027777777777777776
2011-06-01,58381,13131030448.0,175000.0,63551,14934899478.0,182200.0,-0.08135198501990527,-0.12078213399810336,-0.03951701427003293
2011-07-01,62992,15140728563.0,180000.0,68181,16844472801.0,185000.0,-0.07610624660829263,-0.10114559583597382,-0.02702702702702703
2011-08-01,65069,15774096598.0,182950.0,62223,15340735571.0,188500.0,0.04573871398036096,0.028249038319858803,-0.029442970822281166
2011-09-01,64244,15319193126.0,180000.0,58205,14184531227.0,185000.0,0.1037539730263723,0.07999290782625171,-0.02702702702702703
2011-10-01,58580,13493988794.0,177000.0,59361,13933782322.0,180000.0,-0.013156786442276917,-0.03156311171200167,-0.016666666666666666
2011-11-01,61005,13930569598.0,176000.0,57022,13215494904.0,179950.0,0.0698502332433096,0.05410880933286613,-0.021950541817171435
2011-12-01,64333,14446963578.0,175000.0,57617,13229935892.0,177000.0,0.11656282000104136,0.09199044469564842,-0.011299435028248588
2012-01-01,44292,10263915406.0,176000.0,38137,9118218044.0,176500.0,0.1613918242127068,0.12564926134376614,-0.0028328611898017
2012-02-01,45320,10334638119.0,175000.0,40100,9184459332.0,173000.0,0.13017456359102245,0.12523097391183483,0.011560693641618497
2012-03-01,61913,13708934018.0,175000.0,47347,11113052969.0,170000.0,0.3076435677022831,0.2335884708046693,0.029411764705882353
2012-04-01,43783,10371595721.0,175000.0,51318,12202640800.0,175000.0,-0.14682957246969874,-0.15005318184896502,0.0
2012-05-01,53020,12572171828.0,180000.0,49549,10906256857.0,175000.0,0.07005186784798886,0.15274855459971678,0.02857142857142857
2012-06-01,60394,14516592878.0,181000.0,58381,13131030448.0,175000.0,0.03448039601925284,0.10551817966510285,0.03428571428571429
2012-07-01,59714,15031611794.0,186000.0,62992,15140728563.0,180000.0,-0.052038354076708156,-0.007206837408515003,0.03333333333333333
2012-08-01,65627,16327910867.0,186150.0,65069,15774096598.0,182950.0,0.00857551214864221,0.03510909582423999,0.017491117791746377
2012-09-01,53365,13190920402.0,185000.0,64244,15319193126.0,180000.0,-0.16933877093580724,-0.1389285131726591,0.027777777777777776
2012-10-01,59596,14319420564.0,182000.0,58580,13493988794.0,177000.0,0.017343803345851828,0.061170331664053404,0.02824858757062147
2012-11-01,64327,15143955614.0,180000.0,61005,13930569598.0,176000.0,0.05445455290549955,0.08710239789291924,0.022727272727272728
2012-12-01,56944,13467104028.0,180000.0,64333,14446963578.0,175000.0,-0.11485551738610045,-0.06782460166869536,0.02857142857142857
2013-01-01,43512,10677728282.0,182000.0,44292,10263915406.0,176000.0,-0.017610403684638308,0.04031725317592704,0.03409090909090909
2013-02-01,45360,10656533732.0,175000.0,45320,10334638119.0,175000.0,0.00088261253309797,0.031147255403960603,0.0
2013-03-01,54941,12940255818.0,177000.0,61913,13708934018.0,175000.0,-0.11260962964159385,-0.05607133267916499,0.011428571428571429
2013-04-01,51272,12468308389.0,179000.0,43783,10371595721.0,175000.0,0.17104812370097983,0.2021591203901882,0.022857142857142857
2013-05-01,66729,15859143526.0,180000.0,53020,12572171828.0,180000.0,0.2585628064881177,0.26144820027669763,0.0
2013-06-01,66798,16322141867.0,184000.0,60394,14516592878.0,181000.0,0.1060370235453853,0.12437828932547405,0.016574585635359115
2013-07-01,74370,19353399006.0,189000.0,59714,15031611794.0,186000.0,0.2454365810362729,0.28751322687332037,0.016129032258064516
2013-08-01,80468,20939669718.0,190000.0,65627,16327910867.0,186150.0,0.22614167949167263,0.2824463514386724,0.020682245500940104
