month,county,sales_volume,median_price,vol_prev_year,med_prev_year,yoy_sales_volume,yoy_median_price
1995-03-01,NOTTINGHAMSHIRE,1323,42700.0,,,,
1995-03-01,OXFORDSHIRE,920,69000.0,,,,
1995-03-01,PEMBROKESHIRE,6,46125.0,,,,
1995-03-01,POOLE,281,56000.0,,,,
1995-03-01,PORTSMOUTH,244,47250.0,,,,
1995-03-01,POWYS,125,49000.0,,,,
1995-03-01,READING,219,55000.0,,,,
1995-03-01,REDCAR AND CLEVELAND,5,22500.0,,,,
1995-03-01,RHONDDA CYNON TAFF,8,4400.0,,,,
1995-03-01,RUTLAND,31,54000.0,,,,
1995-03-01,SHROPSHIRE,616,50000.0,,,,
1995-03-01,SLOUGH,136,54500.0,,,,
1995-03-01,SOMERSET,704,49000.0,,,,
1995-03-01,SOUTH GLAMORGAN,120,55250.0,,,,
1995-03-01,SOUTH GLOUCESTERSHIRE,11,53000.0,,,,
1995-03-01,SOUTH YORKSHIRE,1337,40800.0,,,,
1995-03-01,SOUTHAMPTON,337,45000.0,,,,
1995-03-01,SOUTHEND-ON-SEA,304,46250.0,,,,
1995-03-01,STAFFORDSHIRE,1085,48950.0,,,,
1995-03-01,STOCKTON-ON-TEES,215,42500.0,,,,
1995-03-01,STOKE-ON-TRENT,319,33500.0,,,,
1995-03-01,SUFFOLK,1049,49000.0,,,,
1995-03-01,SURREY,1646,82000.0,,,,
1995-03-01,SWANSEA,221,44500.0,,,,
1995-03-01,SWINDON,1,45000.0,,,,
1995-03-01,THAMESDOWN,317,52495.0,,,,
1995-03-01,THE VALE OF GLAMORGAN,1,92500.0,,,,
1995-03-01,THURROCK,229,53000.0,,,,
1995-03-01,TORBAY,185,47250.0,,,,
1995-03-01,TORFAEN,96,37125.0,,,,
1995-03-01,TYNE AND WEAR,1247,41000.0,,,,
1995-03-01,WARRINGTON,298,55000.0,,,,
1995-03-01,WARWICKSHIRE,679,55500.0,,,,
1995-03-01,WEST BERKSHIRE,2,151750.0,,,,
1995-03-01,WEST GLAMORGAN,166,40000.0,,,,
1995-03-01,WEST MIDLANDS,2631,46500.0,,,,
1995-03-01,WEST SUSSEX,1245,62500.0,,,,
1995-03-01,WEST YORKSHIRE,2750,44725.0,,,,
1995-03-01,WILTSHIRE,610,61950.0,,,,
1995-03-01,WINDSOR AND MAIDENHEAD,209,93000.0,,,,
1995-03-01,WOKINGHAM,240,87000.0,,,,
1995-03-01,WORCESTERSHIRE,821,57500.0,,,,
1995-03-01,WREKIN,1,1050.0,,,,
